Bill #,State,Session,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text
SB 5187,Washington,2023-2024 Regular Session,Making 2023-2025 fiscal biennium operating appropriations.,Jan 06 2023,Delivered To Governor. (View Bill As Passed Legislature),Apr 24 2023,https://openstates.org/wa/bills/2023-2024/SB5187/,Christine Rolfes,June Robinson; Joe Nguyen,http://lawfilesext.leg.wa.gov/Biennium/2023-24/Htm/Bills/Senate%20Bills/5187.htm
HB 1373,Hawaii,2023 Regular Session,Relating To Workforce Development.,Jan 25 2023,Received Notice Of Senate Conferees (Sen. Com. No. 971).,Apr 24 2023,https://openstates.org/hi/bills/2023 Regular Session/HB1373/,Chris Todd,Cory M. Chun; Scot Z. Matayoshi,https://capitol.hawaii.gov/sessions/session2023/bills/HB1373_.HTM
SB 42,Kansas,2023-2024 Regular Session,House Substitute for SB 42 by Committee on Appropriations - Exempting rural emergency hospitals from the hospital provider assessment and establishing residency and other requirements for membership on a hospital board.,Jan 18 2023,"Approved By Governor On Thursday, April 20, 2023",Apr 24 2023,https://openstates.org/ks/bills/2023-2024/SB42/,,Committee on Appropriations,http://www.kslegislature.org/li/b2023_24/measures/documents/sb42_00_0000.pdf
HB 201,Maryland,2023 Regular Session,"Creation of a State Debt – Maryland Consolidated Capital Bond Loan of 2023, and the Maryland Consolidated Capital Bond Loans of 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, and 2022",Jan 20 2023,Approved By The Governor - Chapter 102,Apr 24 2023,https://openstates.org/md/bills/2023/HB201/,Administration,,http://mgaleg.maryland.gov/2023RS/Chapters_noln/CH_102_hb0201e.pdf
HB 1715,Washington,2023-2024 Regular Session,Enacting comprehensive protections for victims of domestic violence and other violence involving family members or intimate partners.,Feb 01 2023,Delivered To Governor. (View Bill As Passed Legislature),Apr 23 2023,https://openstates.org/wa/bills/2023-2024/HB1715/,Lauren Davis,Gina Mosbrucker; Davina Duerr; Dan Griffey; Amy Walen; Debra Lekanoff; Melanie Morgan; Lisa Callan; Alex Ramel; My-Linh Thai; Alicia Rule; Cindy Ryu; Shelley Kloba; Frank Chopp; Gerry Pollet; Mike Chapman; Sharlett Mena; Julio Cortes; Carolyn Eslick; Steve Bergquist; Jake Fey,http://lawfilesext.leg.wa.gov/Biennium/2023-24/Htm/Bills/House%20Bills/1715.htm
HB 1125,Washington,2023-2024 Regular Session,Making transportation appropriations for the 2023-2025 fiscal biennium.,Jan 04 2023,Delivered To Governor. (View Bill As Passed Legislature),Apr 23 2023,https://openstates.org/wa/bills/2023-2024/HB1125/,Jake Fey,Debra Lekanoff; Joe Timmons; Dave Paul; Sharon Wylie; Brandy Donaghy,http://lawfilesext.leg.wa.gov/Biennium/2023-24/Htm/Bills/House%20Bills/1125.htm
HB 1508,Washington,2023-2024 Regular Session,Improving consumer affordability through the health care cost transparency board.,Jan 23 2023,"By Resolution, Returned To House Rules Committee For Third Reading.",Apr 23 2023,https://openstates.org/wa/bills/2023-2024/HB1508/,Nicole Macri,Marcus Riccelli; Tarra Simmons; Joe Fitzgibbon; Liz Berry; Emily Alvarado; Jessica Bateman; Timm Ormsby; Beth Doglio; Julia Reed; Lisa Callan; Monica Jurado Stonier; Steve Tharinger; Steve Bergquist,http://lawfilesext.leg.wa.gov/Biennium/2023-24/Htm/Bills/House%20Bills/1508.htm
HB 1746,Washington,2023-2024 Regular Session,Concerning a state broadband map.,Feb 03 2023,"By Resolution, Returned To House Rules Committee For Third Reading.",Apr 23 2023,https://openstates.org/wa/bills/2023-2024/HB1746/,Cindy Ryu,Liz Berry; Travis Couture; Dan Griffey; My-Linh Thai; Julia Reed; Mia Gregerson; Bryan Sandlin; Steve Tharinger; Amy Walen; Dave Paul; Shelley Kloba; Mike Volz; Kristine Reeves; Alicia Rule; Timm Ormsby,http://lawfilesext.leg.wa.gov/Biennium/2023-24/Htm/Bills/House%20Bills/1746.htm
HB 1362,Washington,2023-2024 Regular Session,"Improving government efficiency related to reports by state agencies by eliminating reports, changing the frequency of reports, and providing an alternative method for having information publicly available in place of reports.",Jan 16 2023,"By Resolution, Returned To House Rules Committee For Third Reading.",Apr 23 2023,https://openstates.org/wa/bills/2023-2024/HB1362/,Chris Stearns,Kristine Reeves; Peter Abbarno; Mia Gregerson; Debra Lekanoff; Steve Tharinger,http://lawfilesext.leg.wa.gov/Biennium/2023-24/Htm/Bills/House%20Bills/1362.htm
AB 231,Nevada,2023 Regular Session,Revises various provisions of the Uniform Commercial Code. (BDR 8-604),Mar 02 2023,"In Senate.Read First Time. Referred To Committee On Judiciary. To Committee.",Apr 21 2023,https://openstates.org/nv/bills/82/AB231/,,,https://www.leg.state.nv.us/Session/82nd2023/Bills/AB/AB231_R1.pdf
SF 2684,Minnesota,2023-2024 Regular Session,Omnibus Education appropriations,Mar 07 2023,"Rule 45-Amend, Subst. General Orders Hf2497",Apr 21 2023,https://openstates.org/mn/bills/2023-2024/SF2684/,Mary K. Kunesh,Steve Cwodzinski,https://www.revisor.mn.gov/bills/text.php?number=SF2684&version=3&session=ls93&session_year=2023&session_number=0
SB 167,Oregon,2023 Regular Session,Relating to elections; declaring an emergency.,Jan 09 2023,Public Hearing Held.,Apr 20 2023,https://openstates.org/or/bills/2023R1/SB167/,,,https://olis.oregonlegislature.gov/liz/2023R1/Downloads/MeasureDocument/SB167/Introduced
HB 764,Missouri,2023 Regular Session,Establishes provisions relating to digital asset mining and virtual currencies,Jan 11 2023,Reported Do Pass (H) - Ayes: 7 Noes: 3 Present: 0,Apr 20 2023,https://openstates.org/mo/bills/2023/HB764/,Phil Christofanelli,,http://www.house.mo.gov/billtracking/bills231/hlrbillspdf/1719H.01I.pdf
SB 231,Alabama,2023 Regular Session,"Relating to the Uniform Commercial Code; to add Article 12 to the Uniform Commercial Code to govern the property rights of certain intangible digital assets (controllable electronic records), including electronic rights to payment, to provide for a manner to establish the transfer and control of those assets, to provide a mechanism for evidencing certain rights of payment, and to adopt special rules with regard to the payment obligations and conditions of discharge of account debtors on controllable accounts and controllable payment intangibles; to amend Sections 7-1-201, 7-1-204, 7-1-301, 7-1-306, 7-2-102, 7-2-106, 7-2-201, 7-2-202, 7-2-203, 7-2-205, 7-2-209, 7-2A-102, 7-2A-103, 7-2A-107, 7-2A-201, 7-2A-202, 7-2A-203, 7-2A-205, 7-2A-208, 7-3-104, 7-3-105, 7-3-401, 7-3-604, 7-4A-103, 7-4A-201, 7-4A-202, 7-4A-203, 7-4A-207, 7-4A-208, 7-4A-210, 7-4A-211, 7-4A-305, 7-5-104, 7-5-116, 7-7-102, 7-7-106, 7-8-102, 7-8-103, 7-8-106, 7-8-110, 7-8-303, 7-9A-102, 7-9A-104, 7-9A-105, 7-9A-203, 7-9A-204, 7-9A-207, 7-9A-208, 7-9A-209, 7-9A-210, 7-9A-301, 7-9A-304, 7-9A-305, 7-9A-310, 7-9A-312, 7-9A-313, 7-9A-314, 7-9A-316, 7-9A-317, 7-9A-323, 7-9A-324, 7-9A-330, 7-9A-331, 7-9A-332, 7-9A-334, 7-9A-341, 7-9A-404, 7-9A-406, 7-9A-408, 7-9A-509, 7-9A-513, 7-9A-601, 7-9A-605, 7-9A-608, 7-9A-611, 7-9A-613, 7-9A-614, 7-9A-615, 7-9A-616, 7-9A-619, 7-9A-620, 7-9A-621, 7-9A-624, and 7-9A-628, Code of Alabama 1975, and to add Sections 7-9A-107A, 7-9A-107B, 7-9A-306A, 7-9A-306B, 7-9A-314A, and 7-9A-326A to the Code of Alabama 1975, to provide a substantial revision to the Uniform Commercial Code in conformity with a substantial portion of the Uniform Commercial Code Amendments (2022), to clarify the meaning of the term chattel paper and other definitions, to define and provide for hybrid transactions, and to provide extensive amendments to the Uniform Commercial Code providing for the perfection of security interests in controllable electronic records, documents of title, chattel paper, and other assets; and to add Article 12A to the Uniform Commercial Code to provide transitional provisions for the Uniform Commercial Code Amendments (2022).Relating to the Uniform Commercial Code; to add Article 12 to the Uniform Commercial Code to govern the property rights of certain intangible digital assets (controllable electronic records), including electronic rights to payment, to provide for a manner to establish the transfer and control of those assets, to provide a mechanism for evidencing certain rights of payment, and to adopt special rules with regard to the payment obligations and conditions of discharge of account debtors on controllable accounts and controllable payment intangibles; to amend Sections 7-1-201, 7-1-204, 7-1-301, 7-1-306, 7-2-102, 7-2-106, 7-2-201, 7-2-202, 7-2-203, 7-2-205, 7-2-209, 7-2A-102, 7-2A-103, 7-2A-107, 7-2A-201, 7-2A-202, 7-2A-203, 7-2A-205, 7-2A-208, 7-3-104, 7-3-105, 7-3-401, 7-3-604, 7-4A-103, 7-4A-201, 7-4A-202, 7-4A-203, 7-4A-207, 7-4A-208, 7-4A-210, 7-4A-211, 7-4A-305, 7-5-104, 7-5-116, 7-7-102, 7-7-106, 7-8-102, 7-8-103, 7-8-106, 7-8-110, 7-8-303, 7-9A-102, 7-9A-104, 7-9A-105, 7-9A-203, 7-9A-204, 7-9A-207, 7-9A-208, 7-9A-209, 7-9A-210, 7-9A-301, 7-9A-304, 7-9A-305, 7-9A-310, 7-9A-312, 7-9A-313, 7-9A-314, 7-9A-316, 7-9A-317, 7-9A-323, 7-9A-324, 7-9A-330, 7-9A-331, 7-9A-332, 7-9A-334, 7-9A-341, 7-9A-404, 7-9A-406, 7-9A-408, 7-9A-509, 7-9A-513, 7-9A-601, 7-9A-605, 7-9A-608, 7-9A-611, 7-9A-613, 7-9A-614, 7-9A-615, 7-9A-616, 7-9A-619, 7-9A-620, 7-9A-621, 7-9A-624, and 7-9A-628, Code of Alabama 1975, and to add Sections 7-9A-107A, 7-9A-107B, 7-9A-306A, 7-9A-306B, 7-9A-314A, and 7-9A-326A to the Code of Alabama 1975, to provide a substantial revision to the Uniform Commercial Code in conformity with a substantial portion of the Uniform Commercial Code Amendments (2022), to clarify the meaning of the term chattel paper and other definitions, to define and provide for hybrid transactions, and to provide extensive amendments to the Uniform Commercial Code providing for the perfection of security interests in controllable electronic records, documents of title, chattel paper, and other assets; and to add Article 12A to the Uniform Commercial Code to provide transitional provisions for the Uniform Commercial Code Amendments (2022).",Apr 20 2023,Read First Time In House Of Origin,Apr 20 2023,https://openstates.org/al/bills/2023rs/SB231/,Rodger M. Smitherman,,https://www.legislature.state.al.us/pdf/SearchableInstruments/2023RS/SB231-int.pdf
SF 1426,Minnesota,2023-2024 Regular Session,Omnibus State Government and Elections appropriations,Feb 08 2023,"Rule 45-Amend, Subst. General Orders Hf1830",Apr 19 2023,https://openstates.org/mn/bills/2023-2024/SF1426/,Murphy,,https://www.revisor.mn.gov/bills/text.php?number=SF1426&version=2&session=ls93&session_year=2023&session_number=0
HF 1656,Minnesota,2023-2024 Regular Session,"Energy grant programs established to enhance competitiveness of Minnesota entities in obtaining federal funding, account created, report required, and money appropriated.",Feb 13 2023,Effective Date 04/19/23,Apr 19 2023,https://openstates.org/mn/bills/2023-2024/HF1656/,Patty Acomb,"Melissa Hortman; Jamie Long; Athena Hollins; Ned Carroll; Liz Reyer; Amanda Hemmingsen-Jaeger; Kaela Berg; Larry Kraft; Robert Bierman; Rick Hansen; Jerry Newton; Lucy Rehm; Ginny Klevorn; Zack Stephenson; Peter Fischer; Frank Hornstein; Brad Tabke; Dave Lislegard; Michael V. Nelson; Michael Howard; Leigh Finke; Alicia Kozlowski; Erin Koegel; Kaohly Vang Her; Emma Greenman; Leon Lillie; Lee, F.; Brion Curran; Josiah Hill; Cedrick Frazier; Steve Elkins; Andy Smith; Jeff Brand; Luke Frederick; Nick A. Frentz",https://www.revisor.mn.gov/bills/text.php?number=HF1656&version=3&session=ls93&session_year=2023&session_number=0
HCR 3036,North Dakota,68th Legislative Assembly (2023-24),"A concurrent resolution urging Congress not to support legislation, or other efforts, relating to the adoption of a Central Bank Digital Currency in the United States.",Mar 31 2023,Filed With Secretary Of State 04/18,Apr 19 2023,https://openstates.org/nd/bills/68/HCR3036/,,Robin Weisz; David Hogue; Jerry Klein; Lawrence R. Klemin; Mike Lefor; Jon O. Nelson; Nathan Toman,https://www.ndlegis.gov/assembly/68-2023/regular/documents/23-3098-01000.pdf
SF 73,Minnesota,2023-2024 Regular Session,Cannabis provisions modification,Jan 09 2023,Comm Report: To Pass As Amended And Re-Refer To Finance,Apr 19 2023,https://openstates.org/mn/bills/2023-2024/SF73/,Lindsey Port,Clare Oumou Verbeten; Aric Putnam; Murphy; Liz Boldon,https://www.revisor.mn.gov/bills/text.php?number=SF73&version=10&session=ls93&session_year=2023&session_number=0
HB 812,North Carolina,2023-2024 Session,Uniform Restrictive Employment Agreement Act.,Apr 18 2023,Passed 1st Reading,Apr 19 2023,https://openstates.org/nc/bills/2023/HB812/,Tim Longest,Pricey Harrison; John Autry; Rosa U. Gill; Lindsey Prather,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H812v1.pdf
SF 1426,Minnesota,2023-2024 Regular Session,Omnibus State Government and Elections appropriations,Feb 08 2023,"Rule 45-Amend, Subst. General Orders Hf1830",Apr 19 2023,https://openstates.org/mn/bills/2023-2024/SF1426/,Murphy,,https://www.revisor.mn.gov/bills/text.php?number=SF1426&version=2&session=ls93&session_year=2023&session_number=0
SB 268,Tennessee,113th Regular Session (2023-2024),"Financial Institutions, Dept. of - As enacted, enacts the ""Money Transmission Modernization Act"". - Amends TCA Title 45.",Jan 19 2023,Comp. Became Pub. Ch. 115,Apr 18 2023,https://openstates.org/tn/bills/113/SB268/,William Lamberth,,https://www.capitol.tn.gov/Bills/113/Bill/SB0268.pdf
HB 316,Tennessee,113th Regular Session (2023-2024),"Financial Institutions, Dept. of - As enacted, enacts the ""Money Transmission Modernization Act"". - Amends TCA Title 45.",Jan 19 2023,Pub. Ch. 115,Apr 18 2023,https://openstates.org/tn/bills/113/HB316/,Johnson,,https://www.capitol.tn.gov/Bills/113/Bill/HB0316.pdf
SB 277,Nevada,2023 Regular Session,Revises provisions relating to cannabis. (BDR 56-193),Mar 14 2023,"Notice Of Eligibility For Exemption.Read Second Time. Taken From General File. Re-Referred To Committee On Finance. Exemption Effective. To Committee.",Apr 17 2023,https://openstates.org/nv/bills/82/SB277/,,Edgar Flores; Dina Neal; Rochelle T. Nguyen,https://www.leg.state.nv.us/Session/82nd2023/Bills/SB/SB277.pdf
SB 2810,Mississippi,2023 Regular Session,MS Workforce Training and Education Act; extend repealer on the act and in 2004 chapter law for conforming sections.,Jan 16 2023,Approved By Governor,Apr 17 2023,https://openstates.org/ms/bills/2023/SB2810/,David Parker,,http://billstatus.ls.state.ms.us/documents/2023/html/ham/SB2810_H_Amend_01_to_Amend_01.htm
SB 401,California,2023-2024 Regular Session,Digital financial asset transaction kiosks.,Feb 09 2023,April 17 Hearing: Placed On Appr Suspense File.,Apr 17 2023,https://openstates.org/ca/bills/20232024/SB401/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202320240SB401&version=20230SB40199INT
HF 2233,Minnesota,2023-2024 Regular Session,Workforce development finance bill.,Feb 27 2023,Author Added Brand,Apr 17 2023,https://openstates.org/mn/bills/2023-2024/HF2233/,Xiong,Jeff Brand,https://www.revisor.mn.gov/bills/text.php?number=HF2233&version=1&session=ls93&session_year=2023&session_number=0
HB 1001,Indiana,2023 Regular Session,State budget.,Jan 12 2023,Amendment #58 (Hunley) Failed; Voice Vote,Apr 17 2023,https://openstates.org/in/bills/2023/HB1001/,,Eddie Melton,http://in-proxy.openstates.org/2023/bills/HB1001/versions/HB1001.06.ENRS
AB 413,Nevada,2023 Regular Session,Revises provisions relating to cannabis. (BDR 56-1054),Mar 27 2023,"(Pursuant To Joint Standing Rule No. 14.3.1, No Further Action Allowed.)",Apr 15 2023,https://openstates.org/nv/bills/82/AB413/,,,https://www.leg.state.nv.us/Session/82nd2023/Bills/AB/AB413.pdf
